season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
1,1,1,Pilot,Adam Bernstein,Tina Fey,2006-10-11,101,8100000.0
1,2,2,The Aftermath,Adam Bernstein,Tina Fey,2006-10-18,102,5700000.0
1,3,3,Blind Date,Adam Bernstein,John Riggi,2006-10-25,103,6000000.0
1,4,4,Jack the Writer,Gail Mancuso,Robert Carlock,2006-11-01,104,4600000.0
1,5,5,Jack-Tor,Don Scardino,Robert Carlock,2006-11-16,107,5200000.0
1,6,6,Jack Meets Dennis,Juan J. Campanella,Jack Burditt,2006-11-30,105,6000000.0
1,7,7,Tracy Does Conan,Adam Bernstein,Tina Fey,2006-12-07,108,6800000.0
1,8,8,The Break-Up,Scott Ellis,Dave Finkel & Brett Baer,2006-12-14,109,5900000.0
1,9,9,The Baby Show,Michael Engler,Jack Burditt,2007-01-04,110,5900000.0
1,10,10,The Rural Juror,Beth McCarthy,Matt Hubbard,2007-01-11,111,6100000.0
1,11,11,The Head and the Hair,Gail Mancuso,Tina Fey & John Riggi,2007-01-18,112,5000000.0
1,12,12,Black Tie,Don Scardino,Kay Cannon & Tina Fey,2007-02-01,113,5700000.0
1,13,13,Up All Night,Michael Engler,Tina Fey,2007-02-08,114,5200000.0
1,14,14,The C Word,Adam Bernstein,Tina Fey,2007-02-15,106,5000000.0
1,15,15,Hard Ball,Don Scardino,Matt Hubbard,2007-02-22,115,4600000.0
1,16,16,The Source Awards,Don Scardino,Robert Carlock & Daisy Gardner,2007-03-01,116,5700000.0
1,17,17,The Fighting Irish,Dennie Gordon,Jack Burditt,2007-03-08,117,5200000.0
1,18,18,Fireworks,Beth McCarthy,Dave Finkel & Brett Baer,2007-04-05,118,5400000.0
1,19,19,Corporate Crush,Don Scardino,John Riggi,2007-04-12,119,5100000.0
1,20,20,Cleveland,Paul Feig,Jack Burditt & Robert Carlock,2007-04-19,120,5200000.0
1,21,21,Hiatus,Don Scardino,Tina Fey,2007-04-26,121,4700000.0
2,1,22,SeinfeldVision,Don Scardino,Tina Fey,2007-10-04,201,7300000.0
2,2,23,Jack Gets in the Game,Michael Engler,Robert Carlock,2007-10-11,202,6600000.0
2,3,24,The Collection,Don Scardino,Matt Hubbard,2007-10-18,203,6200000.0
2,4,25,Rosemary's Baby,Michael Engler,Jack Burditt,2007-10-25,204,6500000.0
2,5,26,Greenzo,Don Scardino,Jon Pollack,2007-11-08,205,6600000.0
2,6,27,Somebody to Love,Beth McCarthy,Tina Fey & Kay Cannon,2007-11-15,206,6400000.0
2,7,28,Cougars,Michael Engler,John Riggi,2007-11-29,207,5800000.0
2,8,29,Secrets and Lies,Michael Engler,Ron Weiner,2007-12-06,208,5800000.0
2,9,30,Ludachristmas,Don Scardino,Tami Sagher,2007-12-13,209,5600000.0
2,10,31,Episode 210,Richard Shepard,Robert Carlock & Donald Glover,2008-01-10,210,6000000.0
